Command line:
-------------
/home/aboyce/anaconda3/envs/env3.12/bin/obspyDMT --datapath e2008 --data_source IRIS --event_catalog GCMT_COMBO --net II --cha LH? --loc e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --sta e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --preset 60 --offset 7200 --min_mag 5.5 --max_mag 7.5 --min_date=2008-01-01T00:00:00 --max_date=2008-12-31T00:00:00 --waveform_format sac --response True --pre_process=False --req_parallel --req_np 4 --parallel_process --process_np 4 

#N   LAT       LON       DEP  DATETIME             MAG   AUTH  EV_ID              FLY  
--------------------------------------------------------------------------------
64    -56.050   -26.930  74   2008-11-13T15:10:18  5.58  None  20081113_151018.a  NAN
65     37.510    95.750  27   2008-11-10T01:22:10  6.34  None  20081110_012210.a  NAN
66    -15.040  -173.930  138  2008-11-08T09:15:54  5.53  None  20081108_091554.a  NAN
67    -15.070  -173.940  132  2008-11-08T07:50:04  5.97  None  20081108_075004.a  NAN
68     -6.620   129.240  20   2008-11-07T16:04:28  6.18  None  20081107_160428.a  NAN
69    -14.810   168.210  12   2008-11-07T07:35:47  5.68  None  20081107_073547.a  NAN
70    -14.920   168.150  12   2008-11-07T07:19:41  6.37  None  20081107_071941.a  NAN
71    -29.660  -176.950  22   2008-11-06T09:11:09  5.89  None  20081106_091109.a  NAN
72    -17.220  -174.060  186  2008-11-05T03:41:46  5.71  None  20081105_034146.a  NAN
73    -17.030   168.310  232  2008-11-04T18:35:53  6.34  None  20081104_183553.a  NAN
74    -15.980  -176.250  390  2008-11-03T19:36:26  5.56  None  20081103_193626.a  NAN
75      0.910    96.970  24   2008-11-03T19:22:03  5.75  None  20081103_192203.a  NAN
76    -29.870  -176.370  12   2008-11-02T15:01:00  5.68  None  20081102_150100.a  NAN
77     51.380  -174.490  20   2008-11-02T13:48:44  6.06  None  20081102_134844.a  NAN
78     -3.350   149.070  12   2008-11-01T04:09:05  5.65  None  20081101_040905.a  NAN
79     -6.550   129.200  21   2008-11-01T01:34:31  5.79  None  20081101_013431.a  NAN
80     -3.310   148.890  12   2008-11-01T01:13:14  5.97  None  20081101_011314.a  NAN
81     -9.080  -108.300  18   2008-10-30T15:15:46  6.05  None  20081030_151546.a  NAN
82     46.390   153.530  17   2008-10-30T01:55:16  5.54  None  20081030_015516.a  NAN
83     30.290    67.570  12   2008-10-29T11:32:48  6.42  None  20081029_113248.a  NAN
84     -8.960  -108.330  20   2008-10-29T01:36:02  5.73  None  20081029_013602.a  NAN
85     30.400    67.480  17   2008-10-28T23:10:02  6.4   None  20081028_231002.a  NAN
86     -3.360   145.820  12   2008-10-28T16:00:07  6.02  None  20081028_160007.a  NAN
87    -14.660   167.130  140  2008-10-27T05:43:52  5.63  None  20081027_054352.a  NAN
88     -0.180   123.160  74   2008-10-26T09:08:37  5.57  None  20081026_090837.a  NAN
89     36.440    70.460  200  2008-10-26T01:28:58  5.73  None  20081026_012858.a  NAN
90    -17.250   167.090  22   2008-10-25T19:24:54  5.71  None  20081025_192454.a  NAN
91     -2.460   145.780  12   2008-10-23T10:04:41  6.34  None  20081023_100441.a  NAN
92      5.940   125.980  127  2008-10-23T09:21:17  5.68  None  20081023_092117.a  NAN
93    -18.400  -174.980  244  2008-10-22T12:56:03  6.36  None  20081022_125603.a  NAN
94     -7.670   127.720  152  2008-10-21T13:00:51  5.61  None  20081021_130051.a  NAN
95      0.210   120.670  108  2008-10-20T04:54:21  5.86  None  20081020_045421.a  NAN
96    -22.010  -173.400  28   2008-10-19T12:55:06  5.6   None  20081019_125506.a  NAN
97    -21.820  -173.560  43   2008-10-19T05:10:40  6.9   None  20081019_051040.a  NAN
98     -7.070   147.260  78   2008-10-18T00:54:43  5.67  None  20081018_005443.a  NAN
99     14.280   -92.900  30   2008-10-16T19:41:31  6.65  None  20081016_194131.a  NAN
100   -20.300   -65.230  362  2008-10-12T20:55:44  6.17  None  20081012_205544.a  NAN
101    19.300   -64.830  30   2008-10-11T10:40:17  6.06  None  20081011_104017.a  NAN
102    43.400    46.190  13   2008-10-11T09:06:15  5.81  None  20081011_090615.a  NAN
103   -15.150  -173.380  12   2008-10-09T23:08:55  5.59  None  20081009_230855.a  NAN
104   -21.220  -173.810  18   2008-10-09T17:50:04  5.87  None  20081009_175004.a  NAN
105    79.770  -116.020  12   2008-10-07T10:00:49  5.73  None  20081007_100049.a  NAN
106    29.660    90.500  12   2008-10-06T08:30:52  6.31  None  20081006_083052.a  NAN
107    33.910    69.480  17   2008-10-05T22:56:31  5.95  None  20081005_225631.a  NAN
108    39.500    73.640  12   2008-10-05T15:53:01  6.7   None  20081005_155301.a  NAN
109   -30.000  -176.700  14   2008-10-05T09:12:46  6.11  None  20081005_091246.a  NAN
110   -38.990   -91.690  12   2008-10-04T11:47:06  5.5   None  20081004_114706.a  NAN
111   -59.740   -25.420  42   2008-10-04T07:56:59  5.67  None  20081004_075659.a  NAN
112     7.750   -37.240  24   2008-10-03T05:30:27  5.6   None  20081003_053027.a  NAN
113     7.760   -37.000  17   2008-10-03T05:26:26  5.7   None  20081003_052626.a  NAN
114   -22.980   169.780  12   2008-10-02T23:28:16  5.8   None  20081002_232816.a  NAN
115    13.490   120.330  14   2008-10-01T18:04:27  5.54  None  20081001_180427.a  NAN
116    30.210   138.880  394  2008-10-01T09:38:13  5.74  None  20081001_093813.a  NAN
117   -29.850  -177.460  51   2008-09-29T15:19:42  7.03  None  20080929_151942.a  NAN
118    13.560   120.460  12   2008-09-27T03:09:09  5.9   None  20080927_030909.a  NAN
119    13.500   120.400  17   2008-09-27T03:04:56  5.72  None  20080927_030456.a  NAN
120     2.990    65.410  12   2008-09-26T18:46:21  5.65  None  20080926_184621.a  NAN
121    30.660    83.690  21   2008-09-25T01:47:17  5.96  None  20080925_014717.a  NAN
122    17.690  -105.600  17   2008-09-24T02:33:10  6.39  None  20080924_023310.a  NAN
123    41.460   140.500  152  2008-09-22T07:32:01  5.65  None  20080922_073201.a  NAN
124   -11.230   164.480  12   2008-09-19T22:49:04  5.53  None  20080919_224904.a  NAN
125    51.780   158.860  58   2008-09-18T11:58:53  5.85  None  20080918_115853.a  NAN
126    -4.530  -105.980  16   2008-09-18T01:41:06  6.01  None  20080918_014106.a  NAN
127    -9.070   127.050  18   2008-09-16T11:15:42  5.71  None  20080916_111542.a  NAN
128     0.950   -28.800  21   2008-09-16T07:28:30  5.78  None  20080916_072830.a  NAN
129    -9.240   127.180  23   2008-09-14T00:00:12  5.65  None  20080914_000012.a  NAN
130     4.940   -75.480  140  2008-09-13T09:32:06  5.7   None  20080913_093206.a  NAN
131    -3.670   128.950  109  2008-09-13T00:04:07  5.61  None  20080913_000407.a  NAN
132    56.270   164.310  15   2008-09-12T23:07:56  5.89  None  20080912_230756.a  NAN
133   -21.730   170.240  115  2008-09-12T16:44:34  5.83  None  20080912_164434.a  NAN
134    41.790   144.110  20   2008-09-11T00:20:56  6.77  None  20080911_002056.a  NAN
135     1.910   127.340  120  2008-09-11T00:00:06  6.58  None  20080911_000006.a  NAN
136   -20.410   -69.560  36   2008-09-10T16:12:11  5.75  None  20080910_161211.a  NAN
137     8.180   -38.540  15   2008-09-10T13:08:21  6.61  None  20080910_130821.a  NAN
138    26.650    55.720  12   2008-09-10T11:00:38  6.09  None  20080910_110038.a  NAN
139   -11.780   166.350  108  2008-09-09T23:18:29  5.63  None  20080909_231829.a  NAN
140    -9.420   158.360  18   2008-09-09T12:22:53  5.94  None  20080909_122253.a  NAN
141   -13.370   166.750  125  2008-09-08T18:52:14  6.92  None  20080908_185214.a  NAN
142   -19.970   168.810  48   2008-09-08T03:03:20  6.18  None  20080908_030320.a  NAN
143    36.490    70.780  183  2008-09-06T05:47:41  5.83  None  20080906_054741.a  NAN
144    -0.880   -13.790  12   2008-09-05T19:07:42  5.77  None  20080905_190742.a  NAN
145   -13.240   166.830  155  2008-09-05T12:35:46  5.56  None  20080905_123546.a  NAN
146   -31.710  -177.190  12   2008-09-04T16:09:54  5.82  None  20080904_160954.a  NAN
147   -12.170   167.040  261  2008-09-04T09:37:05  5.65  None  20080904_093705.a  NAN
148   -26.850   -63.300  571  2008-09-03T11:25:17  6.28  None  20080903_112517.a  NAN
149     4.590   126.170  114  2008-09-01T17:19:12  5.56  None  20080901_171912.a  NAN
150   -15.190  -176.120  12   2008-09-01T07:06:21  5.73  None  20080901_070621.a  NAN
151   -25.510  -177.250  172  2008-09-01T04:00:40  5.99  None  20080901_040040.a  NAN
152    26.160   102.010  25   2008-08-31T08:31:14  5.55  None  20080831_083114.a  NAN
153   -61.180   -68.370  12   2008-08-31T01:15:26  5.54  None  20080831_011526.a  NAN
154    26.190   102.040  24   2008-08-30T08:30:57  5.96  None  20080830_083057.a  NAN
155    -6.330   147.490  88   2008-08-30T06:54:14  6.4   None  20080830_065414.a  NAN
