Command line:
-------------
/home/aboyce/anaconda3/envs/env3.12/bin/obspyDMT --datapath e2008 --data_source IRIS --event_catalog GCMT_COMBO --net II --cha LH? --loc e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --sta e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --preset 60 --offset 7200 --min_mag 5.5 --max_mag 7.5 --min_date=2008-01-01T00:00:00 --max_date=2008-12-31T00:00:00 --waveform_format sac --response True --pre_process=False --req_parallel --req_np 4 --parallel_process --process_np 4 

#N   LAT       LON       DEP  DATETIME             MAG   AUTH  EV_ID              FLY  
--------------------------------------------------------------------------------
282    30.900   103.420  14   2008-05-13T07:07:13  5.77  None  20080513_070713.a  NAN
283    31.370   104.110  28   2008-05-12T20:08:53  5.62  None  20080512_200853.a  NAN
284    31.310   103.620  15   2008-05-12T11:11:05  6.08  None  20080512_111105.a  NAN
285    23.890   122.520  24   2008-05-10T19:42:04  5.64  None  20080510_194204.a  NAN
286    12.360   143.280  83   2008-05-09T21:51:35  6.75  None  20080509_215135.a  NAN
287    36.120   142.080  23   2008-05-08T23:21:11  5.55  None  20080508_232111.a  NAN
288    36.180   141.610  26   2008-05-07T16:45:27  6.85  None  20080507_164527.a  NAN
289    36.110   141.980  23   2008-05-07T16:16:40  6.07  None  20080507_161640.a  NAN
290    36.120   141.890  24   2008-05-07T16:02:07  6.19  None  20080507_160207.a  NAN
291    -6.960   155.080  38   2008-05-03T19:01:50  5.7   None  20080503_190150.a  NAN
292    51.960  -177.540  12   2008-05-02T01:33:39  6.59  None  20080502_013339.a  NAN
293   -19.520   168.580  49   2008-05-01T04:57:56  5.68  None  20080501_045756.a  NAN
294    -6.080   127.610  412  2008-04-29T19:10:05  5.92  None  20080429_191005.a  NAN
295    41.470   142.250  64   2008-04-29T05:26:07  5.76  None  20080429_052607.a  NAN
296   -20.230   168.810  17   2008-04-28T20:26:57  6.03  None  20080428_202657.a  NAN
297   -19.950   168.780  48   2008-04-28T18:33:42  6.39  None  20080428_183342.a  NAN
298   -59.040   -24.150  17   2008-04-28T15:58:00  6.06  None  20080428_155800.a  NAN
299    17.890  -100.100  56   2008-04-28T00:06:29  5.83  None  20080428_000629.a  NAN
300   -35.440   -16.280  16   2008-04-27T14:35:34  5.62  None  20080427_143534.a  NAN
301   -49.120   164.030  12   2008-04-26T23:34:55  5.93  None  20080426_233455.a  NAN
302    -1.140   -23.870  15   2008-04-24T12:15:05  6.47  None  20080424_121505.a  NAN
303   -20.220   168.580  19   2008-04-24T01:19:15  5.61  None  20080424_011915.a  NAN
304    22.850   121.640  12   2008-04-23T18:28:45  5.97  None  20080423_182845.a  NAN
305    -7.690   125.850  12   2008-04-20T13:01:25  5.59  None  20080420_130125.a  NAN
306    -7.760   125.730  14   2008-04-19T10:21:18  5.93  None  20080419_102118.a  NAN
307   -20.360   168.720  12   2008-04-19T05:58:48  6.25  None  20080419_055848.a  NAN
308    -7.820   125.720  14   2008-04-19T03:12:31  6.07  None  20080419_031231.a  NAN
309   -27.550  -175.950  12   2008-04-18T21:11:00  5.76  None  20080418_211100.a  NAN
310   -17.260  -178.980  578  2008-04-18T20:39:12  6.31  None  20080418_203912.a  NAN
311    15.780   144.720  12   2008-04-17T17:02:56  5.54  None  20080417_170256.a  NAN
312    39.080   140.180  170  2008-04-16T19:19:38  5.8   None  20080416_191938.a  NAN
313     1.000   126.150  32   2008-04-16T08:11:39  5.68  None  20080416_081139.a  NAN
314    51.810  -179.170  12   2008-04-16T05:54:24  6.59  None  20080416_055424.a  NAN
315   -18.450  -175.580  12   2008-04-16T00:35:56  6.27  None  20080416_003556.a  NAN
316    51.780  -179.290  12   2008-04-15T22:59:56  6.45  None  20080415_225956.a  NAN
317   -18.590  -175.600  13   2008-04-15T17:25:01  5.7   None  20080415_172501.a  NAN
318    13.420   -91.000  33   2008-04-15T03:03:09  6.15  None  20080415_030309.a  NAN
319   -56.040   -27.750  115  2008-04-14T09:45:20  6.04  None  20080414_094520.a  NAN
320   -15.420    67.190  12   2008-04-12T08:50:09  5.54  None  20080412_085009.a  NAN
321   -55.560   158.490  22   2008-04-12T00:30:21  7.09  None  20080412_003021.a  NAN
322   -20.470   168.680  22   2008-04-11T17:45:10  6.04  None  20080411_174510.a  NAN
323   -20.280   168.810  15   2008-04-11T16:36:01  5.89  None  20080411_163601.a  NAN
324    16.120   144.840  12   2008-04-11T05:02:57  5.5   None  20080411_050257.a  NAN
325    16.110   144.830  12   2008-04-11T03:16:46  5.53  None  20080411_031646.a  NAN
326   -20.440   168.710  27   2008-04-10T01:10:07  5.84  None  20080410_011007.a  NAN
327   -20.190   168.520  34   2008-04-09T14:47:52  6.3   None  20080409_144752.a  NAN
328   -20.120   168.800  35   2008-04-09T12:46:23  7.3   None  20080409_124623.a  NAN
329   -20.260   168.630  32   2008-04-09T11:23:45  6.29  None  20080409_112345.a  NAN
330   -20.330   168.620  21   2008-04-09T11:13:26  6.32  None  20080409_111326.a  NAN
331   -20.060   168.460  21   2008-04-07T22:54:46  5.77  None  20080407_225446.a  NAN
332   -15.270  -172.560  52   2008-04-04T04:03:06  5.52  None  20080404_040306.a  NAN
333    -7.190   129.210  190  2008-04-02T19:10:21  5.68  None  20080402_191021.a  NAN
334    -4.980    69.230  12   2008-04-02T14:36:14  5.71  None  20080402_143614.a  NAN
335    -4.640   102.490  65   2008-04-02T08:48:52  5.67  None  20080402_084852.a  NAN
336     2.660    95.170  20   2008-03-29T17:30:57  6.34  None  20080329_173057.a  NAN
337    13.400   125.740  16   2008-03-29T03:01:33  5.66  None  20080329_030133.a  NAN
338    20.100   121.850  13   2008-03-28T22:41:35  5.8   None  20080328_224135.a  NAN
339   -32.600   179.570  360  2008-03-28T06:39:48  5.67  None  20080328_063948.a  NAN
340    34.380    25.320  59   2008-03-28T00:16:24  5.54  None  20080328_001624.a  NAN
341    17.350   -84.800  12   2008-03-27T09:43:01  5.63  None  20080327_094301.a  NAN
342    13.450   144.990  63   2008-03-26T20:06:08  5.57  None  20080326_200608.a  NAN
343    46.360   153.270  20   2008-03-26T18:33:38  5.5   None  20080326_183338.a  NAN
344   -20.310   -69.420  129  2008-03-24T20:39:10  6.15  None  20080324_203910.a  NAN
345    51.980  -178.500  134  2008-03-22T21:24:14  6.21  None  20080322_212414.a  NAN
346    35.430    81.370  12   2008-03-20T22:33:12  7.09  None  20080320_223312.a  NAN
347     6.070   127.120  64   2008-03-20T14:10:46  6.04  None  20080320_141046.a  NAN
348   -29.090  -176.890  35   2008-03-18T08:22:53  6.21  None  20080318_082253.a  NAN
349   -54.620  -135.590  18   2008-03-17T19:06:21  5.57  None  20080317_190621.a  NAN
350    42.350  -127.070  13   2008-03-15T14:44:38  5.71  None  20080315_144438.a  NAN
351     2.470    94.510  12   2008-03-15T14:43:29  6.03  None  20080315_144329.a  NAN
352    26.880   143.000  13   2008-03-14T22:32:12  5.98  None  20080314_223212.a  NAN
353   -45.320    35.080  22   2008-03-13T13:28:50  6.01  None  20080313_132850.a  NAN
354   -16.590   167.170  12   2008-03-12T11:37:02  6.33  None  20080312_113702.a  NAN
355   -16.590   167.220  12   2008-03-12T11:23:40  6.43  None  20080312_112340.a  NAN
356    51.960  -169.370  18   2008-03-11T14:37:13  5.63  None  20080311_143713.a  NAN
357   -28.420   -69.740  129  2008-03-10T09:43:07  5.55  None  20080310_094307.a  NAN
358     2.640   128.280  131  2008-03-06T01:22:02  5.85  None  20080306_012202.a  NAN
359    52.360  -173.750  14   2008-03-04T19:24:32  5.5   None  20080304_192432.a  NAN
360    13.520   125.590  18   2008-03-03T14:11:21  6.87  None  20080303_141121.a  NAN
361    19.970   121.210  24   2008-03-03T13:49:45  5.98  None  20080303_134945.a  NAN
362    46.260   153.380  14   2008-03-03T09:31:10  6.48  None  20080303_093110.a  NAN
363    -2.420    99.680  23   2008-03-03T02:37:31  6.16  None  20080303_023731.a  NAN
364    51.760  -179.270  12   2008-03-02T05:11:45  5.8   None  20080302_051145.a  NAN
365   -35.190  -179.070  19   2008-03-01T23:06:47  5.6   None  20080301_230647.a  NAN
366   -20.510   -70.760  51   2008-03-01T19:52:05  5.63  None  20080301_195205.a  NAN
367   -35.090  -108.930  19   2008-02-29T02:38:34  5.7   None  20080229_023834.a  NAN
368    12.560   141.680  12   2008-02-28T09:12:59  5.63  None  20080228_091259.a  NAN
369    26.720   142.800  17   2008-02-27T06:54:23  6.24  None  20080227_065423.a  NAN
370    -4.280   100.810  19   2008-02-26T18:18:32  5.92  None  20080226_181832.a  NAN
371    -2.460    99.700  17   2008-02-25T21:02:23  6.71  None  20080225_210223.a  NAN
372    -2.580    99.730  15   2008-02-25T18:06:08  6.61  None  20080225_180608.a  NAN
373    -2.660    99.950  14   2008-02-25T08:36:42  7.19  None  20080225_083642.a  NAN
374    -2.630    99.730  15   2008-02-24T14:46:26  6.49  None  20080224_144626.a  NAN
375   -57.120   -23.130  12   2008-02-23T15:57:28  6.75  None  20080223_155728.a  NAN
376    -2.720    99.720  16   2008-02-23T07:17:13  5.58  None  20080223_071713.a  NAN
377    -2.560    99.660  22   2008-02-21T23:55:39  5.72  None  20080221_235539.a  NAN
378    -1.900   138.960  16   2008-02-21T21:41:44  5.59  None  20080221_214144.a  NAN
379    41.160  -114.850  14   2008-02-21T14:16:10  6.02  None  20080221_141610.a  NAN
380    77.020    19.280  13   2008-02-21T02:46:21  6.07  None  20080221_024621.a  NAN
381    36.240    21.730  18   2008-02-20T18:27:12  6.16  None  20080220_182712.a  NAN
382     2.690    95.980  15   2008-02-20T08:08:45  7.3   None  20080220_080845.a  NAN
383   -21.580   -68.770  135  2008-02-16T14:45:15  6.07  None  20080216_144515.a  NAN
384   -61.400   154.140  18   2008-02-15T22:01:00  5.74  None  20080215_220100.a  NAN
385    36.290    21.670  15   2008-02-14T12:09:02  6.54  None  20080214_120902.a  NAN
386    36.240    21.790  20   2008-02-14T10:09:29  6.85  None  20080214_100929.a  NAN
387    -8.420   128.830  22   2008-02-13T19:58:50  6.17  None  20080213_195850.a  NAN
388    16.350   -94.510  87   2008-02-12T12:50:20  6.46  None  20080212_125020.a  NAN
389    -3.210   100.930  51   2008-02-12T01:29:43  5.51  None  20080212_012943.a  NAN
390   -61.050   -25.010  12   2008-02-10T12:22:08  6.54  None  20080210_122208.a  NAN
391    -0.330   125.370  32   2008-02-09T18:34:04  5.96  None  20080209_183404.a  NAN
392    10.850   -41.710  17   2008-02-08T09:38:22  6.94  None  20080208_093822.a  NAN
393    -7.580   117.040  321  2008-02-07T20:58:19  5.67  None  20080207_205819.a  NAN
394   -22.650  -178.960  494  2008-02-07T09:25:34  5.58  None  20080207_092534.a  NAN
395     1.550   122.570  31   2008-02-07T07:50:57  5.78  None  20080207_075057.a  NAN
396    -3.440   118.120  19   2008-02-05T05:56:52  5.77  None  20080205_055652.a  NAN
397   -20.270   -70.760  46   2008-02-04T17:01:36  6.33  None  20080204_170136.a  NAN
398    19.000   -66.870  16   2008-02-04T07:43:58  5.52  None  20080204_074358.a  NAN
399   -56.380   -26.540  99   2008-02-03T14:24:41  5.61  None  20080203_142441.a  NAN
400    -2.380    28.820  12   2008-02-03T07:34:15  5.93  None  20080203_073415.a  NAN
401   -21.530  -179.270  630  2008-02-01T12:10:10  6.0   None  20080201_121010.a  NAN
402    -6.070   129.740  20   2008-01-31T01:04:33  5.82  None  20080131_010433.a  NAN
403    -7.170   127.710  19   2008-01-30T07:32:48  6.11  None  20080130_073248.a  NAN
404   -59.000   -24.650  37   2008-01-29T14:57:30  5.63  None  20080129_145730.a  NAN
405    -6.230   146.840  48   2008-01-24T22:29:59  5.86  None  20080124_222959.a  NAN
406     6.930   -82.350  18   2008-01-24T04:12:19  5.86  None  20080124_041219.a  NAN
407    14.540   -93.990  12   2008-01-23T05:49:36  5.5   None  20080123_054936.a  NAN
408     0.870    97.180  23   2008-01-22T17:15:01  6.2   None  20080122_171501.a  NAN
409   -15.230  -175.310  14   2008-01-22T10:49:26  6.12  None  20080122_104926.a  NAN
410   -15.250  -175.170  15   2008-01-22T07:55:53  6.02  None  20080122_075553.a  NAN
411   -35.010  -112.110  16   2008-01-21T12:24:30  5.76  None  20080121_122430.a  NAN
412     2.680   126.860  40   2008-01-20T20:26:10  6.08  None  20080120_202610.a  NAN
413   -44.880   167.000  14   2008-01-20T18:41:53  5.53  None  20080120_184153.a  NAN
414   -35.010  -112.180  14   2008-01-20T06:09:00  5.59  None  20080120_060900.a  NAN
415    32.350    85.290  12   2008-01-16T11:54:51  5.89  None  20080116_115451.a  NAN
416   -22.050  -179.340  603  2008-01-15T17:52:20  6.51  None  20080115_175220.a  NAN
417    10.360    92.700  44   2008-01-14T13:38:40  5.83  None  20080114_133840.a  NAN
418    17.260   120.800  20   2008-01-13T12:15:39  5.74  None  20080113_121539.a  NAN
419    43.510  -128.270  17   2008-01-10T01:37:23  6.32  None  20080110_013723.a  NAN
420    51.520  -131.490  12   2008-01-09T14:40:04  6.01  None  20080109_144004.a  NAN
421    32.300    85.320  13   2008-01-09T08:26:52  6.4   None  20080109_082652.a  NAN
422    -3.670   131.650  14   2008-01-08T19:23:38  5.79  None  20080108_192338.a  NAN
423    51.030  -179.340  26   2008-01-07T08:14:21  5.62  None  20080107_081421.a  NAN
424    12.470   125.540  20   2008-01-07T07:46:29  5.55  None  20080107_074629.a  NAN
425    -0.790   134.030  12   2008-01-07T03:12:29  5.87  None  20080107_031229.a  NAN
426    36.980    22.870  92   2008-01-06T05:14:23  6.17  None  20080106_051423.a  NAN
427   -62.360  -155.580  14   2008-01-05T19:55:36  5.67  None  20080105_195536.a  NAN
428    50.850  -130.920  12   2008-01-05T11:44:51  6.42  None  20080105_114451.a  NAN
429    51.110  -131.240  12   2008-01-05T11:01:11  6.59  None  20080105_110111.a  NAN
430    50.940  -131.040  12   2008-01-05T10:39:16  5.67  None  20080105_103916.a  NAN
431   -22.870   -68.880  117  2008-01-05T07:29:35  5.7   None  20080105_072935.a  NAN
432    13.990   -92.040  46   2008-01-05T01:56:44  5.62  None  20080105_015644.a  NAN
433    -3.090   100.690  46   2008-01-04T07:29:22  6.01  None  20080104_072922.a  NAN
434    -6.030   146.960  43   2008-01-01T19:13:11  5.76  None  20080101_191311.a  NAN
435    -5.950   146.940  51   2008-01-01T18:55:08  6.29  None  20080101_185508.a  NAN
436    40.340    72.900  20   2008-01-01T06:32:32  5.58  None  20080101_063232.a  NAN
